day,start_time,end_time,zone_id,term
M,8:00,8:50,2,SP22
M,8:00,8:50,3,SP22
M,8:00,8:50,4,SP22
M,8:00,8:50,6,SP22
M,8:00,8:50,7,SP22
M,8:00,8:50,10,SP22
M,8:00,8:50,12,SP22
M,8:00,8:50,13,SP22
M,8:00,8:50,19,SP22
M,8:00,8:50,22,SP22
M,8:00,8:50,27,SP22
W,8:00,8:50,2,SP22
W,8:00,8:50,3,SP22
W,8:00,8:50,4,SP22
W,8:00,8:50,6,SP22
W,8:00,8:50,7,SP22
W,8:00,8:50,10,SP22
W,8:00,8:50,12,SP22
W,8:00,8:50,13,SP22
W,8:00,8:50,19,SP22
W,8:00,8:50,22,SP22
W,8:00,8:50,27,SP22
F,8:00,8:50,2,SP22
F,8:00,8:50,3,SP22
F,8:00,8:50,4,SP22
F,8:00,8:50,6,SP22
F,8:00,8:50,7,SP22
F,8:00,8:50,10,SP22
F,8:00,8:50,12,SP22
F,8:00,8:50,13,SP22
F,8:00,8:50,19,SP22
F,8:00,8:50,22,SP22
F,8:00,8:50,27,SP22
M,9:10,10:00,2,SP22
M,9:10,10:00,3,SP22
M,9:10,10:00,4,SP22
M,9:10,10:00,6,SP22
M,9:10,10:00,7,SP22
M,9:10,10:00,10,SP22
M,9:10,10:00,12,SP22
M,9:10,10:00,13,SP22
M,9:10,10:00,19,SP22
M,9:10,10:00,22,SP22
M,9:10,10:00,27,SP22
W,9:10,10:00,2,SP22
W,9:10,10:00,3,SP22
W,9:10,10:00,4,SP22
W,9:10,10:00,6,SP22
W,9:10,10:00,7,SP22
W,9:10,10:00,10,SP22
W,9:10,10:00,12,SP22
W,9:10,10:00,13,SP22
W,9:10,10:00,19,SP22
W,9:10,10:00,22,SP22
W,9:10,10:00,27,SP22
F,9:10,10:00,2,SP22
F,9:10,10:00,3,SP22
F,9:10,10:00,4,SP22
F,9:10,10:00,6,SP22
F,9:10,10:00,7,SP22
F,9:10,10:00,10,SP22
F,9:10,10:00,12,SP22
F,9:10,10:00,13,SP22
F,9:10,10:00,19,SP22
F,9:10,10:00,22,SP22
F,9:10,10:00,27,SP22
M,10:20,11:10,2,SP22
M,10:20,11:10,3,SP22
M,10:20,11:10,4,SP22
M,10:20,11:10,6,SP22
M,10:20,11:10,7,SP22
M,10:20,11:10,10,SP22
M,10:20,11:10,12,SP22
M,10:20,11:10,13,SP22
M,10:20,11:10,19,SP22
M,10:20,11:10,22,SP22
M,10:20,11:10,27,SP22
W,10:20,11:10,2,SP22
W,10:20,11:10,3,SP22
W,10:20,11:10,4,SP22
W,10:20,11:10,6,SP22
W,10:20,11:10,7,SP22
W,10:20,11:10,10,SP22
W,10:20,11:10,12,SP22
